name,price,discount_rate,product_description,image_name
Đồ chơi xếp hình 3D cho bé hình tàu thủy LX-207,20000,20,"Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy
Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé
Tháo lắp dễ dàng, mô hình tàu hải tặc trong bộ phim hoạt hình được nhiều bé yêu thích
Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cmđây là SIZE TO NHẤT
",lx-207-do-choi-xep-hinh-cho-be-medium.jpg
Đồ chơi xếp hình 3D cho bé hình trực thăng LD-258-17,20000,20,"Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy
Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé
Tháo lắp dễ dàng, mô hình máy bay quân sự được nhiều bé trai yêu thích, bổ sung vào bộ sưu tập mô hình của mình
Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cmđây là SIZE TO NHẤT
",dl-258-17-do-choi-xep-hinh-cho-be-2-medium.jpg
Bộ bàn chơi LEGO đa năng 1 ghế kèm bộ xếp hình 60 chi tiết cỡ lớn 188T-3,940000,20,"Thương hiệu: BBT Global
Kích thước bàn: 56*43*43cm, ghế: 28*28*45cm
Kích thước hộp: 58*22*44cm
Trọn bộ gồm: 1 bàn  1 ghế + 2 hộp chứa đồ + 60 chi tiết xếp hình cỡ lớn
Mặt bàn đa năng cho bé chơi, 1 mặt cho bé chơi lego, 1 mặt trơn cho bé làm bàn ăn, bàn học và bàn ngồi chơi
Dưới mặt bàn sẽ là 1 ngăn đựng đồ lớn cho bé đựng đồ chơi logo vô cùng tiện lợi
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm đạt tiêu chuẩn: EU(xuất Châu Âu), CR (Nhập khẩu về VN), CQ(kiểm định an toàn cho trẻ)
",188t-3-ban-ghe-choi-lego-da-nang-cho-be-3-medium.jpg
Đồ chơi bảng núm gỗ lắp ráp theo chủ đề BBT Global 333-4,40000,20,"Thương hiệu: BBT Global
Kích thước: 22.5x18x1.1cm
Chất liệu: gỗ an toàn
Dành cho bé từ 1.5 tuổi trở lên
Có các chủ đề khác nhau: xe cộ, các chữ số, rau củ quả...
Sản phẩm được sản xuất theo tiêu chuẩn xuất khẩu Châu Âu (CE)
Có chứng nhận chất lượng, đảm bảo an toàn cho bé (CQ)
",333-4-do-choi-go-lap-rap-hinh-thong-minh-medium.jpg
Bộ bàn chơi LEGO đa năng 2 ghế kèm 60 chi tiết xếp hình cỡ lớn 188T-4,990000,20,"Thương hiệu: BBT Global
Kích thước bàn: 56*43*43cm, ghế: 28*28*45cm
Kích thước hộp: 58*22*44cm
Trọn bộ gồm: 1 bàn  2 ghế + 4 hộp chứa đồ + 60 chi tiết xếp hình cỡ lớn
Mặt bàn đa năng cho bé chơi, 1 mặt cho bé chơi lego, 1 mặt trơn cho bé làm bàn ăn, bàn học và bàn ngồi chơi
Dưới mặt bàn sẽ là 1 ngăn đựng đồ lớn cho bé đựng đồ chơi logo vô cùng tiện lợi
Chất liệu: nhựa nguyên sinh an toàn cho bé
Sản phẩm đạt tiêu chuẩn: EU(xuất Châu Âu), CR (Nhập khẩu về VN), CQ(kiểm định an toàn cho trẻ)
",188t-4-ban-ghe-choi-lego-da-nang-cho-be-7-medium.jpg
Đồ chơi xếp hình cho bé thả bóng thông minh 97 chi tiết 8801,330000,0,"Thương hiệu: BBT GLOBAL
Kích thước hộp: 33*25*9cm
Dành cho bé 3
Gồm 97 chi tiết
Được làm từ nhựa nguyên sinh an toàn cho bé
Thiết kế 2 trong 1: bé chơi xếp hình và chơi thả bóng cực kỳ thích thú
",8801-do-choi-xep-hinh-cho-be-4-medium.jpg
Xếp hình thông minh tàu hỏa tuổi thơ BBT Global 5306,263000,20,"Thương hiệu: BBT Global
Số gạch xếp: 45 chi tiết xếp hình thành đoàn tàu kèm sticker dán số và các phép tính cho bé vừa chơi vừa học
Xếp hình thông minh BBT Global được làm từ nhựa nguyên sinh nhập khẩu từ Hàn Quốc, sản xuất trên dây truyền công nghệ hiện đại của Châu Âu
Đồ chơi chất lượng cao được sản xuất theo Tiêu chuẩn Châu Âu,có chứng nhận của Tổng cục TCĐL Chất lượng, NK và PP bởi cty BBT Việt Nam, số 1 về đồ chơi trẻ em, đồ chơi cho bé an toàn, thiết bị giáo dục và thiết bị khu vui chơi giải trí, website:babycuatoi.vn thietbivuichoi.vn
",5306-do-choi-xep-hinh-cho-be-9-medium.jpg
Xếp mô hình 3D ngôi nhà biệt thự cho bé 3D-29,20000,20,"Mẫu đồ chơi lắp ráp mô hình 3D kiểu mới, giúp trẻ sáng tạo, kích thích trí tưởng tượng
Kích thước : 19x15.7x19.5cm
Chất liệu:
Hàng nhập khẩu đạt tiêu chuẩn Châu Âu (CE)
Chứng nhận an toàn của Tổng cục Tiêu chuẩn Đo lường Chất lượng (CQ)
",3d-29-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi xếp hình 3D ngôi nhà ước mơ cho bé LX-851,20000,20,"Chất liệu: Mô hình được làm từ xốp EPS tráng 2 lớp giấy
Lắp ráp hình 3D mô phỏng, kích thích trí tưởng tượng cho bé
Tháo lắp dễ dàng, mô hình ngôi nhà màu hồng 2 tầng tuyệt đẹp
Mỗi mô hình gồm 4 tấm chi tiết dập sẵn với kích thước mỗi tấm 29x21cmđây là SIZE TO NHẤT
",lx-851-do-choi-xep-hinh-cho-be-1-medium.jpg
Đồ chơi mô hình đoàn tàu kèm bộ số BY-5001,156000,0,"Thương hiệu: BBT GLOBAL
Kích thước hộp: 27*27*5.5cm
Dành cho bé 2
Chất liệu: nhựa nguyên sinh an toàn cho bé
Gồm đoàn tàu 8 toa và bộ số
",by-5001-do-choi-doan-tau-vui-nhon-medium.jpg
